query_id;strategy;version;query_text;model;rank;document_id;document_title;score;relevant
22;simplificação e remoção de termos genéricos;original;"did anyone else discover that the turbulent skin friction is not over
sensitive to the nature of the variation of the viscosity with
temperature .";vector;1;125;"measurements of skin friction of the compressible turbulent
boundary layer on a cone with foreign gas injection .";0.24681481215060846;False
22;simplificação e remoção de termos genéricos;original;"did anyone else discover that the turbulent skin friction is not over
sensitive to the nature of the variation of the viscosity with
temperature .";vector;2;413;"turbulent skin friction at high mach numbers and reynolds
numbers in air and helium . nasa r82, 1960 .";0.2219410919699496;False
22;simplificação e remoção de termos genéricos;original;"did anyone else discover that the turbulent skin friction is not over
sensitive to the nature of the variation of the viscosity with
temperature .";vector;3;254;"boundary layers with suction and injection . a review
of published work on skin friction .";0.21338385216704217;False
22;simplificação e remoção de termos genéricos;original;"did anyone else discover that the turbulent skin friction is not over
sensitive to the nature of the variation of the viscosity with
temperature .";vector;4;348;turbulent boundary layer in compressible fluids .;0.21066685549915382;False
22;simplificação e remoção de termos genéricos;original;"did anyone else discover that the turbulent skin friction is not over
sensitive to the nature of the variation of the viscosity with
temperature .";vector;5;207;"laminar boundary layer oscillations and transition
on a flat plate .";0.19988219607854385;False
22;simplificação e remoção de termos genéricos;original;"did anyone else discover that the turbulent skin friction is not over
sensitive to the nature of the variation of the viscosity with
temperature .";vector;6;560;"a theoretical study of the effect of upstream
transpiration-cooling on the heat transfer and skin friction characteristics
of a compressible laminar boundary layer .";0.19591897400209857;False
22;simplificação e remoção de termos genéricos;original;"did anyone else discover that the turbulent skin friction is not over
sensitive to the nature of the variation of the viscosity with
temperature .";vector;7;50;"investigation of laminar boundary layer in compressible
fluids using the crocco method .";0.19574277524654446;False
22;simplificação e remoção de termos genéricos;original;"did anyone else discover that the turbulent skin friction is not over
sensitive to the nature of the variation of the viscosity with
temperature .";vector;8;565;"similar solutions for the compressible boundary layer
on a yawed cylinder with transpiration cooling .";0.17935028785178703;False
22;simplificação e remoção de termos genéricos;original;"did anyone else discover that the turbulent skin friction is not over
sensitive to the nature of the variation of the viscosity with
temperature .";vector;9;153;"on the steady motion of viscous, incompressible fluids,
with particular reference to a variation principle .";0.17900772273228902;False
22;simplificação e remoção de termos genéricos;original;"did anyone else discover that the turbulent skin friction is not over
sensitive to the nature of the variation of the viscosity with
temperature .";vector;10;861;"charts adapted from van driest's turbulent flat-plate
theory for determining values of turbulent aerodynamic
friction and heat transfer coefficients .";0.16623861315711283;False
