query_id,query_text,rank,document_id,document_title,score,relevant
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",1,13,similarity laws for stressing heated wings .,0.2410237639422884,True
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",2,184,scale models for thermo-aeroelastic research .,0.22679448238744412,True
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",3,486,similarity laws for aerothermoelastic testing .,0.187698980250377,False
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",4,875,models for aeroelastic investigation .,0.17110222799371705,True
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",5,12,"some structural and aerelastic considerations of high
speed flight .",0.16567085398941472,True
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",6,1268,"stable combustion of a high-velocity gas in a heated
boundary layer .",0.14204764668548223,False
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",7,51,"theory of aircraft structural models subjected to aerodynamic
heating and external loads .",0.14189080491127995,True
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",8,746,"aeroelastic problems in connection with high speed
flight .",0.13009494028142032,False
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",9,878,"experimental model techniques and equipment for flutter
investigations .",0.12060428386564324,False
1,"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .",10,880,the design and testing of supersonic flutter models .,0.10615053656255208,True
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",1,493,"real-gas laminar boundary layer skin friction and heat
transfer .",0.2907631377409228,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",2,302,"approximations for the thermodynamic and transport properties of high
temperature air .",0.21566123302588613,True
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",3,949,"charts for equilibrium flow properties of air in
hyper-velocity nozzles .",0.21211691836887842,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",4,524,"stagnation point heat transfer in partially ionized
air .",0.18860202808626012,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",5,1199,"theoretical investigations of a supersonic laminar
boundary layer with foreign-gas injection .",0.17388147085878686,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",6,405,tables of thermal properties of gases .,0.16964112773978815,True
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",7,1286,"equilibrium real-gas performance charts for a shypersonic
shock-tube wind-tunnel employing nitrogen .",0.16741219353037443,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",8,691,"calculation procedure for thermodynamic transport, and flow properties
of the combustion products of a hydrocarbon fuel mixture burned in air
with results for ethylene-air and methane-air mixtures .",0.16333180595300845,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",9,1009,free-flight measurements of the static and dynamic .,0.15992962182154769,False
10,"are real-gas transport properties for air available over a wide range of
enthalpies and densities .",10,583,influence coefficients for real gases .,0.15632172703963446,False
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",1,1171,"the stability under axial compression and lateral pressure
of circular cylindrical shells with a soft elastic
core .",0.3964167267760468,False
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",2,741,"the behaviour of thin cylindrical shells after buckling
under axial compression .",0.3685962601353002,False
100,"what are the effects of initial imperfections on the elastic buckling of
cylindrical shells under axial compression .",3,822,"effects of imperfections on buckling of thin cylinders
and columns under axial compression .",0.36736500258917776,True
