query_id;query_text;rank;document_id;document_title;score;relevant
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";1;51;"theory of aircraft structural models subjected to aerodynamic
heating and external loads .";0.24565037559143552;True
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";2;184;scale models for thermo-aeroelastic research .;0.2185017280129472;True
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";3;486;similarity laws for aerothermoelastic testing .;0.19192132308412896;False
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";4;12;"some structural and aerelastic considerations of high
speed flight .";0.19117215237295498;True
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";5;573;viscous hypersonic similitude .;0.17690083615942837;False
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";6;878;"experimental model techniques and equipment for flutter
investigations .";0.1702493446510038;False
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";7;875;models for aeroelastic investigation .;0.1650936309960456;True
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";8;665;"on the theory of hypersonic gas flow with a power law
shock wave .";0.16342283529810336;False
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";9;879;flutter model testing at transonic speeds .;0.16310234758270897;True
1;"what similarity laws must be obeyed when constructing aeroelastic models
of heated high speed aircraft .";10;746;"aeroelastic problems in connection with high speed
flight .";0.16166889017506944;False
10;"are real-gas transport properties for air available over a wide range of
enthalpies and densities .";1;302;"approximations for the thermodynamic and transport properties of high
temperature air .";0.32536347410934063;True
10;"are real-gas transport properties for air available over a wide range of
enthalpies and densities .";2;493;"real-gas laminar boundary layer skin friction and heat
transfer .";0.2970648478677405;False
10;"are real-gas transport properties for air available over a wide range of
enthalpies and densities .";3;1143;"a one-foot hypervelocity shock tunnel in which high-enthalpy
real gas flows can be generated with flow times of
about 180 milliseconds .";0.27083030565446975;False
